state,year,chapter,amount,state_total_amount,percentage,Population,% of Total,chapter_state_percentage
ANDAMAN AND NICOBAR ISLANDS,2005,Seattle,2680.0,2680.0,100.0,380581,0.03,0.17995659554352264
ANDHRA PRADESH,1995,NYC/NJ,1500.0,3000.0,50.0,49577103,4.1,5.046766704797792
ANDHRA PRADESH,1995,Stanford,1500.0,3000.0,50.0,49577103,4.1,5.046766704797792
ANDHRA PRADESH,1996,NYC/NJ,2500.0,4000.0,62.5,49577103,4.1,5.600860292140873
ANDHRA PRADESH,1996,Stanford,1500.0,4000.0,37.5,49577103,4.1,3.360516175284524
ANDHRA PRADESH,1997,Arizona,3000.0,9430.0,31.81336161187699,49577103,4.1,3.4321015902070697
ANDHRA PRADESH,1997,Boston,2430.0,9430.0,25.76882290562036,49577103,4.1,2.7800022880677266
ANDHRA PRADESH,1997,Cleveland,1500.0,9430.0,15.906680805938494,49577103,4.1,1.7160507951035349
ANDHRA PRADESH,1997,NYC/NJ,2500.0,9430.0,26.51113467656416,49577103,4.1,2.8600846585058917
ANDHRA PRADESH,1998,Arizona,2100.0,4600.0,45.65217391304348,49577103,4.1,1.9395058877857307
ANDHRA PRADESH,1998,NYC/NJ,2500.0,4600.0,54.34782608695652,49577103,4.1,2.308935580697298
ANDHRA PRADESH,1999,Arizona,3250.0,29316.0,11.086096329649338,49577103,4.1,0.783478015606882
ANDHRA PRADESH,1999,Boston,7700.0,29316.0,26.26552053486151,49577103,4.1,1.8562402215916898
ANDHRA PRADESH,1999,Corvallis,1436.0,29316.0,4.898349024423522,49577103,4.1,0.3461767478189177
ANDHRA PRADESH,1999,NYC/NJ,5250.0,29316.0,17.908309455587393,49577103,4.1,1.265618332903425
ANDHRA PRADESH,1999,Seattle,1680.0,29316.0,5.730659025787966,49577103,4.1,0.404997866529096
ANDHRA PRADESH,1999,Silicon Valley,10000.0,29316.0,34.11106562969027,49577103,4.1,2.410701586482714
ANDHRA PRADESH,2000,Arizona,2700.0,45058.0,5.992276621243731,49577103,4.1,0.5108170234502852
ANDHRA PRADESH,2000,Corvallis,510.0,45058.0,1.1318744729015937,49577103,4.1,0.09648765998505388
ANDHRA PRADESH,2000,Delaware,2000.0,45058.0,4.438723423143505,49577103,4.1,0.3783829803335446
ANDHRA PRADESH,2000,NYC/NJ,9750.0,45058.0,21.63877668782458,49577103,4.1,1.8446170291260298
ANDHRA PRADESH,2000,Seattle,7800.0,45058.0,17.311021350259665,49577103,4.1,1.475693623300824
ANDHRA PRADESH,2000,Silicon Valley,16948.0,45058.0,37.61374228771805,49577103,4.1,3.206417375346457
ANDHRA PRADESH,2000,Work an Hour,5350.0,45058.0,11.873585156908872,49577103,4.1,1.012174472392232
ANDHRA PRADESH,2001,Delaware,5000.0,60554.0,8.257092842751925,49577103,4.1,0.651509939435636
ANDHRA PRADESH,2001,NYC/NJ,6100.0,60554.0,10.073653268157347,49577103,4.1,0.7948421261114759
ANDHRA PRADESH,2001,Portland,1500.0,60554.0,2.477127852825577,49577103,4.1,0.1954529818306908
ANDHRA PRADESH,2001,Seattle,15844.0,60554.0,26.165075800112295,49577103,4.1,2.0645046960836435
ANDHRA PRADESH,2001,Silicon Valley,24260.0,60554.0,40.06341447303233,49577103,4.1,3.161126226141706
ANDHRA PRADESH,2001,Stanford,2500.0,60554.0,4.128546421375963,49577103,4.1,0.325754969717818
ANDHRA PRADESH,2001,Work an Hour,5350.0,60554.0,8.83508934174456,49577103,4.1,0.6971156351961305
ANDHRA PRADESH,2002,Berkeley,1200.0,75790.0,1.583322338039319,49577103,4.1,0.1456632411527789
ANDHRA PRADESH,2002,Corvallis,1450.0,75790.0,1.9131811584641771,49577103,4.1,0.17600974972627448
ANDHRA PRADESH,2002,Delaware,4000.0,75790.0,5.27774112679773,49577103,4.1,0.48554413717592965
ANDHRA PRADESH,2002,NYC/NJ,9500.0,75790.0,12.53463517614461,49577103,4.1,1.153167325792833
ANDHRA PRADESH,2002,Portland,2000.0,75790.0,2.638870563398865,49577103,4.1,0.24277206858796482
ANDHRA PRADESH,2002,Seattle,16893.0,75790.0,22.289220213748514,49577103,4.1,2.050574277328245
ANDHRA PRADESH,2002,Silicon Valley,19600.0,75790.0,25.86093152130888,49577103,4.1,2.3791662721620552
ANDHRA PRADESH,2002,Stanford,2500.0,75790.0,3.298588204248581,49577103,4.1,0.303465085734956
