state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDHRA PRADESH,All Chapters,2005,696440.0,1489248.0,4.676454156728766,1.140598574811894
ANDHRA PRADESH,Berkeley,2005,1500.0,25280.0,5.9335443037974684,1.4472059277554803
ANDHRA PRADESH,Boston,2005,7000.0,23012.0,30.418911872066744,7.4192467980650605
ANDHRA PRADESH,CentralNJ,2005,9000.0,40150.0,22.415940224159403,5.4673024936974155
ANDHRA PRADESH,Cincinnati,2005,1000.0,1000.0,100.0,24.390243902439025
ANDHRA PRADESH,Cornell,2005,1000.0,11000.0,9.090909090909092,2.21729490022173
ANDHRA PRADESH,Delaware,2005,15725.0,15725.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,2005,13500.0,83316.0,16.203370301022613,3.952041536834784
ANDHRA PRADESH,Seattle,2005,7750.0,603508.0,1.2841586192726526,0.31320941933479335
ANDHRA PRADESH,Silicon Valley,2005,6585.0,218371.0,3.0155103012762683,0.7354903173844557
ANDHRA PRADESH,Toledo,2005,6584.0,13526.0,48.67662280053231,11.872347024520076
ANDHRA PRADESH,All Chapters,2006,905520.0,1230346.0,9.199851098796598,2.243866121657707
ANDHRA PRADESH,Berkeley,2006,1500.0,10500.0,14.285714285714285,3.4843205574912894
ANDHRA PRADESH,Boston,2006,44000.0,91383.0,48.14899926682206,11.743658357761479
ANDHRA PRADESH,NYC/NJ,2006,13000.0,90235.0,14.406826619382723,3.513860151068957
ANDHRA PRADESH,Seattle,2006,24350.0,231708.0,10.508916394772731,2.5631503401884714
ANDHRA PRADESH,Silicon Valley,2006,3980.0,225786.0,1.7627310816436803,0.42993441015699524
ANDHRA PRADESH,Toledo,2006,18000.0,26500.0,67.9245283018868,16.566958122411414
ANDHRA PRADESH,UFlorida,2006,1000.0,1000.0,100.0,24.390243902439025
ANDHRA PRADESH,Work an Hour,2006,7360.0,46943.0,15.67858892699657,3.824046079755261
ANDHRA PRADESH,All Chapters,2007,1844448.0,2323618.0,6.614856658882828,1.613379672898251
ANDHRA PRADESH,Atlanta,2007,5600.0,35510.0,15.770205575894114,3.8463916038766133
ANDHRA PRADESH,Bangalore,2007,1890.0,64891.0,2.9125764743955247,0.710384505950128
ANDHRA PRADESH,Boston,2007,20730.0,53696.0,38.60622765196663,9.41615308584552
ANDHRA PRADESH,CentralNJ,2007,2500.0,52222.0,4.7872544138485695,1.1676230277679438
ANDHRA PRADESH,DC,2007,9517.0,36108.0,26.357039991137697,6.428546339301878
ANDHRA PRADESH,Delaware,2007,923.0,923.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,2007,34000.0,186530.0,18.227630944084062,4.445763644898552
ANDHRA PRADESH,Princeton,2007,4000.0,22050.0,18.140589569160998,4.42453404125878
ANDHRA PRADESH,Seattle,2007,35120.0,684495.0,5.130789852372917,1.2514121591153458
ANDHRA PRADESH,Silicon Valley,2007,30924.0,549299.0,5.629720789588184,1.3731026316068742
ANDHRA PRADESH,Toledo,2007,5000.0,7399.0,67.57669955399378,16.482121842437508
ANDHRA PRADESH,Work an Hour,2007,3500.0,52850.0,6.622516556291391,1.615247940558876
