state,year,state_total_amount,total_amount,percentage
TAMIL NADU,2019,578694.0,3273488.0,17.678207465553562
TELANGANA,2019,105645.0,3273488.0,3.227291500686729
UTTAR PRADESH,2019,336743.0,3273488.0,10.286978293490003
UTTARAKHAND,2019,16569.0,3273488.0,0.5061573465367828
WEST BENGAL,2019,519181.0,3273488.0,15.860177278792529
ANDHRA PRADESH,2020,153822.0,3240754.0,4.746488008654777
ASSAM,2020,117737.0,3240754.0,3.6330125643600226
BIHAR,2020,50570.0,3240754.0,1.5604393298596562
CHHATTISGARH,2020,31286.0,3240754.0,0.9653926215936168
DELHI,2020,120370.0,3240754.0,3.714259089088527
GUJARAT,2020,65976.0,3240754.0,2.035822527720401
HARYANA,2020,36570.0,3240754.0,1.1284410973495675
JAMMU AND KASHMIR,2020,45785.0,3240754.0,1.4127885053910294
JHARKHAND,2020,7743.0,3240754.0,0.23892587959468692
KARNATAKA,2020,149402.0,3240754.0,4.61009999524802
KERALA,2020,41126.0,3240754.0,1.2690256650149934
MADHYA PRADESH,2020,85295.0,3240754.0,2.6319492315677153
MAHARASHTRA,2020,338639.0,3240754.0,10.44938924707028
MANIPUR,2020,21899.0,3240754.0,0.6757378066956022
ODISHA,2020,121582.0,3240754.0,3.751657793217258
PUDUCHERRY,2020,15047.0,3240754.0,0.4643055288985218
RAJASTHAN,2020,240103.0,3240754.0,7.408862258597845
TAMIL NADU,2020,568573.0,3240754.0,17.544466503782765
TELANGANA,2020,92899.0,3240754.0,2.8665859858539093
UTTAR PRADESH,2020,286072.0,3240754.0,8.827328455044722
UTTARAKHAND,2020,15691.0,3240754.0,0.4841774475939859
WEST BENGAL,2020,634567.0,3240754.0,19.580844457802105
ANDHRA PRADESH,2021,171638.0,3258459.0,5.267459249909236
ASSAM,2021,96334.0,3258459.0,2.95642817663196
BIHAR,2021,79620.0,3258459.0,2.4434863228292882
CHHATTISGARH,2021,39545.0,3258459.0,1.213610482746599
DELHI,2021,136020.0,3258459.0,4.174365858217028
GUJARAT,2021,70693.0,3258459.0,2.1695224644532893
HARYANA,2021,47334.0,3258459.0,1.4526498568802
JAMMU AND KASHMIR,2021,31252.0,3258459.0,0.9591036744669797
JHARKHAND,2021,13239.0,3258459.0,0.4062963505141541
KARNATAKA,2021,193152.0,3258459.0,5.927710000340651
KERALA,2021,29390.0,3258459.0,0.9019600983164128
MADHYA PRADESH,2021,46627.0,3258459.0,1.4309524839809247
MAHARASHTRA,2021,349674.0,3258459.0,10.731268983283202
MANIPUR,2021,28355.0,3258459.0,0.8701966174808399
ODISHA,2021,144003.0,3258459.0,4.419358966922708
PUDUCHERRY,2021,17312.0,3258459.0,0.5312940871743361
RAJASTHAN,2021,228158.0,3258459.0,7.002021507712695
TAMIL NADU,2021,595701.0,3258459.0,18.28167854804986
TELANGANA,2021,63733.0,3258459.0,1.9559245643416105
UTTAR PRADESH,2021,313636.0,3258459.0,9.62528606313598
WEST BENGAL,2021,563043.0,3258459.0,17.279425642612047
ANDHRA PRADESH,2022,168675.0,3000077.0,5.622355692870549
ASSAM,2022,107250.0,3000077.0,3.5749082440217372
BIHAR,2022,67257.0,3000077.0,2.2418424593768758
CHHATTISGARH,2022,51318.0,3000077.0,1.7105560957268764
DELHI,2022,84916.0,3000077.0,2.8304606848424223
GUJARAT,2022,66859.0,3000077.0,2.228576133212581
HARYANA,2022,43735.0,3000077.0,1.4577959165714747
JHARKHAND,2022,44160.0,3000077.0,1.4719622196363626
KARNATAKA,2022,140799.0,3000077.0,4.693179541725096
KERALA,2022,27369.0,3000077.0,0.9122765849009876
MADHYA PRADESH,2022,10720.0,3000077.0,0.35732416201317496
MAHARASHTRA,2022,392681.0,3000077.0,13.08903071487832
MANIPUR,2022,39765.0,3000077.0,1.325465979706521
ODISHA,2022,81931.0,3000077.0,2.730963238610209
PUDUCHERRY,2022,14224.0,3000077.0,0.4741211642234516
RAJASTHAN,2022,157206.0,3000077.0,5.240065504985372
TAMIL NADU,2022,676712.0,3000077.0,22.55648771681527
TELANGANA,2022,52409.0,3000077.0,1.7469218290063888
UTTAR PRADESH,2022,336021.0,3000077.0,11.20041252274525
WEST BENGAL,2022,436070.0,3000077.0,14.535293594131085
ANDHRA PRADESH,2023,164235.0,3039128.0,5.4040172049351
ASSAM,2023,128404.0,3039128.0,4.225027705315472
BIHAR,2023,87090.0,3039128.0,2.865624613375942
CHHATTISGARH,2023,26248.0,3039128.0,0.8636687892053246
DELHI,2023,68159.0,3039128.0,2.2427156737064053
GUJARAT,2023,78213.0,3039128.0,2.5735342506139918
HARYANA,2023,18315.0,3039128.0,0.6026399677802317
JHARKHAND,2023,12783.0,3039128.0,0.42061407087822555
KARNATAKA,2023,110054.0,3039128.0,3.621236091405166
KERALA,2023,23042.0,3039128.0,0.7581780036905323
MADHYA PRADESH,2023,44624.0,3039128.0,1.4683159116694
MAHARASHTRA,2023,347047.0,3039128.0,11.419295271538415
MANIPUR,2023,52543.0,3039128.0,1.7288840746424634
ODISHA,2023,63166.0,3039128.0,2.078425127207541
PUDUCHERRY,2023,6681.0,3039128.0,0.21983279414358328
RAJASTHAN,2023,210704.0,3039128.0,6.93304131974698
TAMIL NADU,2023,702131.0,3039128.0,23.103041398717
TELANGANA,2023,55558.0,3039128.0,1.8280901627045654
UTTAR PRADESH,2023,371677.0,3039128.0,12.229725105359169
WEST BENGAL,2023,468454.0,3039128.0,15.414092463364494
ANDHRA PRADESH,2024,70536.0,879119.0,8.023487150203785
BIHAR,2024,20338.0,879119.0,2.313452445004601
CHHATTISGARH,2024,15542.0,879119.0,1.7679062788996711
DELHI,2024,37651.0,879119.0,4.28281040450724
GUJARAT,2024,40239.0,879119.0,4.577196033756522
KARNATAKA,2024,47842.0,879119.0,5.442039132358645
MADHYA PRADESH,2024,25454.0,879119.0,2.8953986889146974
MAHARASHTRA,2024,160315.0,879119.0,18.235870229172615
ODISHA,2024,51397.0,879119.0,5.846421246725415
RAJASTHAN,2024,87714.0,879119.0,9.977488826882368
TAMIL NADU,2024,99726.0,879119.0,11.343856747493799
TELANGANA,2024,21857.0,879119.0,2.486239064336
UTTAR PRADESH,2024,62722.0,879119.0,7.134642750298879
WEST BENGAL,2024,137786.0,879119.0,15.673191001445765
